date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:59:43	13600/13600	---M-Z	200	added ('OK')	text/html	etag:W/%220bb93eeace265706a63500cfc1079c1b%22	https://site118646.nicepage.io/?version=714cca24-d9cc-459f-b434-6f3acf4392eb&uid=cb253188-244e-4f84-92c6-47b8c5a199d3	C:/My%20Web%20Sites/portfolio%20extract/site118646.nicepage.io/index4d59.html	(from )
00:59:43	1848/1848	---M-Z	200	added ('OK')	text/html	etag:W/%22fcc14bfd9fb6ff8160d234f5fecd7808%22	https://site118646.nicepage.io/robots.txt		(from )
00:59:44	9429/9429	---M-Z	200	added ('OK')	text/css	etag:W/%2253a9f0e0af82662f312373d1bafa1b75%22	https://site118646.nicepage.io/Home.css	C:/My%20Web%20Sites/portfolio%20extract/site118646.nicepage.io/Home.css	(from https://site118646.nicepage.io/?version=714cca24-d9cc-459f-b434-6f3acf4392eb&uid=cb253188-244e-4f84-92c6-47b8c5a199d3)
00:59:48	1288907/1288907	---M-Z	200	added ('OK')	text/css	etag:W/%22c3238cbcfe81feec87a11f201974ce01%22	https://site118646.nicepage.io/nicepage.css	C:/My%20Web%20Sites/portfolio%20extract/site118646.nicepage.io/nicepage.css	(from https://site118646.nicepage.io/?version=714cca24-d9cc-459f-b434-6f3acf4392eb&uid=cb253188-244e-4f84-92c6-47b8c5a199d3)
00:59:48	13545/13545	---M-Z	200	added ('OK')	text/html	etag:W/%22050088e672b0da9d4c442f466e4f1bd1%22	https://site118646.nicepage.io/Home.html	C:/My%20Web%20Sites/portfolio%20extract/site118646.nicepage.io/Home.html	(from https://site118646.nicepage.io/?version=714cca24-d9cc-459f-b434-6f3acf4392eb&uid=cb253188-244e-4f84-92c6-47b8c5a199d3)
00:59:49	241964/241964	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%226624323a7fe93fd9c721362d27f2130d%22	http://capp.nicepage.com/01db292f7dec5dea9f984582599f825173540652/nicepage.js	C:/My%20Web%20Sites/portfolio%20extract/capp.nicepage.com/01db292f7dec5dea9f984582599f825173540652/nicepage.js	(from https://site118646.nicepage.io/?version=714cca24-d9cc-459f-b434-6f3acf4392eb&uid=cb253188-244e-4f84-92c6-47b8c5a199d3)
00:59:50	2752/2752	---M--	200	added ('OK')	image/png	etag:%22b2d194356ee35e1d876510b0d509f3df%22	http://images01.nicepage.com/37375393aaf792ff3352d6f2/6d0be65421ae5b9db0d04112/5968732.png	C:/My%20Web%20Sites/portfolio%20extract/images01.nicepage.com/37375393aaf792ff3352d6f2/6d0be65421ae5b9db0d04112/5968732.png	(from https://site118646.nicepage.io/?version=714cca24-d9cc-459f-b434-6f3acf4392eb&uid=cb253188-244e-4f84-92c6-47b8c5a199d3)
00:59:50	6535/6535	---M--	200	added ('OK')	image/png	etag:%2246e9355ad3c5635be326ccbc3d0e4e4a%22	http://images01.nicepage.com/37375393aaf792ff3352d6f2/a17fca7e7cfa5610b00c3f1f/1384063.png	C:/My%20Web%20Sites/portfolio%20extract/images01.nicepage.com/37375393aaf792ff3352d6f2/a17fca7e7cfa5610b00c3f1f/1384063.png	(from https://site118646.nicepage.io/?version=714cca24-d9cc-459f-b434-6f3acf4392eb&uid=cb253188-244e-4f84-92c6-47b8c5a199d3)
00:59:50	92629/92629	---MCZ	200	added ('OK')	application/javascript	etag:W/%22397754ba49e9e0cf4e7c190da78dda05%22	http://capp.nicepage.com/assets/jquery-1.9.1.min.js	C:/My%20Web%20Sites/portfolio%20extract/capp.nicepage.com/assets/jquery-1.9.1.min.js	(from https://site118646.nicepage.io/?version=714cca24-d9cc-459f-b434-6f3acf4392eb&uid=cb253188-244e-4f84-92c6-47b8c5a199d3)
00:59:51	2626/2626	---M--	200	added ('OK')	image/png	etag:%22f94e65ee88ef07f004fa0dd8b87c6516%22	http://images01.nicepage.com/37375393aaf792ff3352d6f2/3f608331e4185334b4108a1b/1384060.png	C:/My%20Web%20Sites/portfolio%20extract/images01.nicepage.com/37375393aaf792ff3352d6f2/3f608331e4185334b4108a1b/1384060.png	(from https://site118646.nicepage.io/?version=714cca24-d9cc-459f-b434-6f3acf4392eb&uid=cb253188-244e-4f84-92c6-47b8c5a199d3)
00:59:51	3636/3636	---M--	200	added ('OK')	image/png	etag:%227117888e3e56326e14a50b357ec9488f%22	http://images01.nicepage.com/37375393aaf792ff3352d6f2/a5647df3d29c50c9a0657849/6806987.png	C:/My%20Web%20Sites/portfolio%20extract/images01.nicepage.com/37375393aaf792ff3352d6f2/a5647df3d29c50c9a0657849/6806987.png	(from https://site118646.nicepage.io/?version=714cca24-d9cc-459f-b434-6f3acf4392eb&uid=cb253188-244e-4f84-92c6-47b8c5a199d3)
00:59:52	36722/36722	---M--	200	added ('OK')	image/png	etag:%2294e8d613ffbd9d652ab2729b59a68146%22	http://images01.nicepage.com/37375393aaf792ff3352d6f2/11a0f84f6f3d5dc3990e23ed/Viswashh1.png	C:/My%20Web%20Sites/portfolio%20extract/images01.nicepage.com/37375393aaf792ff3352d6f2/11a0f84f6f3d5dc3990e23ed/Viswashh1.png	(from https://site118646.nicepage.io/?version=714cca24-d9cc-459f-b434-6f3acf4392eb&uid=cb253188-244e-4f84-92c6-47b8c5a199d3)
